address,sniff_provider,phone_num,times,
"דרך אבא הלל סילבר 77, רמת גן, מערב",שירותי בריאות כללית,03-7535300,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 13:00, 14:00 - 15:00  7:30 - 15:00  7:30 - 13:00  8:00 - 12:00  
חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
"דרך ארץ 32, חריש",מאוחדת,04-7743900,Opening_hours   שעות פעילות  ימים א' - ו'   8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת מוניטור מרפאת נשים   עוד פרטים  יועצי תזונה
"דרך ארץ 52, חריש, מרכז מסחרי חנן מור",שירותי בריאות כללית,04-7707346,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת
"דרך בית חנינא, ירושלים",שירותי בריאות כללית,02-5859908,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט  נגישות לנכים
"דרך בית לחם 105, ירושלים",מאוחדת,02-5300500,"Opening_hours   שעות פעילות  ימים א', ב', ה' יום ג' יום ד' יום ו'   8:00 - 18:00  8:00 - 17:00  8:00 - 12:30  8:00 - 11:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מרפאת נשים  ריפוי בעיסוק יועצי תזונה
"דרך בן צבי 2, יפו תל אביב",שירותי בריאות כללית,03-7170100,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 15:30  7:30 - 13:00  7:30 - 12:30  
חוה""מ:	 07:30 - 13:00
ערב חג:07:30 - 13:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט  נגישות לנכים
"דרך ד""ר ישראל פלד 46, מכבים",מאוחדת,08-9262575,"Opening_hours   שעות פעילות  ימים א', ד' יום ב'   8:00 - 11:00  8:00 - 11:00, 17:00 - 19:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מרפאת נשים
"דרך האלון 143, קציר",שירותי בריאות כללית,04-6253595,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
"דרך האלוף עוזי נרקיס 7, מעלות-תרשיחא, קניון כוכב הצפון",לאומית שירותי בריאות,04-9077019,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מכון רנטגן אולטרה סאונד מכון להתפתחות הילד מכון ממוגרפיה שירותי רפואה דחופה מכון סוכרת   עוד פרטים  שירותים סוציאליים שירות מעקב היריון שירותי אופטומטריה
"דרך הארבעה 41, עכו",מכבי שירותי בריאות,04-9851111,"Opening_hours   שעות פעילות  ימים א', ב' ימים ג', ה' יום ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00  16:00 - 18:00   צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים
"דרך הבנים 17, פרדס חנה-כרכור",מכבי שירותי בריאות,04-8141800,"Opening_hours   שעות פעילות  יום א' ימים ב', ה' יום ג'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00  16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה פיזיותרפיה  שירותים סוציאליים
"דרך הבנים 17, פרדס חנה-כרכור",שירותי בריאות כללית,04-6174300,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה פיזיותרפיה
"דרך ההגנה 41, דרום תל אביב",מכבי שירותי בריאות,03-7910100,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג'   8:00 - 12:00  8:00 - 12:00, 16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"דרך הזיתים, ירושלים",שירותי בריאות כללית,02-6270164,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן  נגישות לנכים
"דרך המייסדים 5, מיתר",שירותי בריאות כללית,08-9558222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת
"דרך הנחשונים 41, אריאל",לאומית שירותי בריאות,03-9065800,"Opening_hours   שעות פעילות  ימים א' - ג', ה' ימים ד', ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מכון רנטגן פיזיותרפיה שירותי רפואה דחופה   עוד פרטים  רפואה משלימה שירות מעקב היריון
"דרך העצמאות 2, נהריה",מאוחדת,04-9522316,"Opening_hours   שעות פעילות  ימים א' - ה'   8:00 - 12:00, 16:00 - 20:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  יועצי תזונה
"דרך העצמאות 56, יהוד",מכבי שירותי בריאות,03-5396200,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"דרך הציונות 17, ראש העין",מכבי שירותי בריאות,03-9386111,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה פיזיותרפיה
"דרך הציונות 56, אריאל, מזרח",שירותי בריאות כללית,03-9065700,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, נגישות לנכים
"דרך הראשונים 1, קדומים",לאומית שירותי בריאות,09-7922088,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ה' יום ו'   7:30 - 13:00  8:00 - 9:45, 16:00 - 19:00  7:30 - 13:00, 16:00 - 19:00  8:00 - 11:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"דרך הרב משקובסקי 1, רכסים",לאומית שירותי בריאות,04-9049800,"Opening_hours   שעות פעילות  ימים א', ה' יום ב' יום ג' יום ד'   8:00 - 13:00, 16:00 - 18:30  8:00 - 12:30  8:00 - 16:30  8:00 - 13:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת אולטרה סאונד מכון ממוגרפיה מכון סוכרת   עוד פרטים  רפואה משלימה שירות מעקב היריון
"דרך השלום 16, תל חנן נשר",מכבי שירותי בריאות,04-8215550,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה פיזיותרפיה
"דרך חברון 101, ירושלים, בית הנציב ק. 1",מכבי שירותי בריאות,02-5060340,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה פיזיותרפיה
"דרך יד לבנים 2, חיפה, קיבוץ גלויות",שירותי בריאות כללית,04-8685411,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב', ג' ימים ד', ו'   8:00 - 12:30, 15:30 - 18:00  8:00 - 15:30  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"דרך יחיעם 38, נהריה",שירותי בריאות כללית,04-9933400,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' ימים ד', ו' יום ה'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:00  8:00 - 19:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה בדיקומט בית מרקחת  נגישות לנכים
"דרך יצחק רבין 2, קניון נעימי, מגדל המים",מאוחדת,02-9905444,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א' - ג', ה' ימים ד', ו'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון רנטגן מוניטור מכון להתפתחות הילד פיזיותרפיה מרפאת נשים שירותי רפואה דחופה מכון קרדיולוגי   עוד פרטים  ריפוי בעיסוק יועצי תזונה
"דרך יצחק רבין 2, קניון נעימי, קניון נעימי",מכבי שירותי בריאות,02-9917587,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג'   8:00 - 12:00, 16:00 - 18:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה אולטרה סאונד פיזיותרפיה  שירותים סוציאליים
"דרך יצחק רבין 53, קניון גבעתיים, קניון עזריאלי",מאוחדת,03-5721919,"Opening_hours   שעות פעילות  ימים א', ב', ד' ימים ג', ה', ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מוניטור מרפאת נשים מכון גסטרואנטרולוגי   עוד פרטים  שירותים סוציאליים יועצי תזונה
"דרך ירושלים 15, רחובות, שכ' היובל",מכבי שירותי בריאות,08-9356260,"Opening_hours   שעות פעילות  ימים א', ב', ד' יום ג' יום ה'   8:00 - 12:00  16:00 - 18:00  8:00 - 12:00, 16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"דרך לב השרון 41, צורן",שירותי בריאות כללית,09-8949859,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' ימים ד', ה' יום ו'   9:00 - 13:00, 16:00 - 19:00  9:00 - 15:00  8:30 - 13:00  8:00 - 11:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", טיפת חלב שירות אחיות בדיקות מעבדה בית מרקחת  שירותי ביקור בית שירות מעקב היריון נגישות לנכים
"דרך מנחם בגין 21, פתח תקווה, הדר גנים",לאומית שירותי בריאות,03-9086833,"Opening_hours   שעות פעילות  ימים א', ב', ד' ימים ג', ה' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  רפואה משלימה
"דרך מנחם בגין 21, פתח תקווה, ק. הדר גנים",מאוחדת,03-9076300,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מרפאת נשים  ריפוי בעיסוק יועצי תזונה
"דרך מנחם בגין 50, פתח תקווה",שירותי בריאות כללית,03-9082200,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  נגישות לנכים
"דרך משה דיין 147, תל אביב, רמת ישראל",שירותי בריאות כללית,03-5625639,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 15:00  7:30 - 13:30  8:00 - 12:00  חוה""מ:	 07:30 - 12:30
ערב חג:07:30 - 12:30  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בדיקומט בית מרקחת  נגישות לנכים
"דרך משה דיין 3, יהוד, קריית הסביונים",שירותי בריאות כללית,03-5392300,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:00 - 10:00, 17:00 - 20:30  9:00 - 12:00  
חוה""מ:	 07:00 - 10:00
ערב חג:07:00 - 10:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
"דרך נגבה 48, רמת גן, מרום נוה",מכבי שירותי בריאות,03-5742799,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ד', ה'   12:00 - 18:00  12:00 - 16:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה
"דרך ניל""י 16, בנימינה",שירותי בריאות כללית,04-6182400,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בית מרקחת  שירותי ביקור בית נגישות לנכים
"דרך ניל""י 21, בנימינה",לאומית שירותי בריאות,04-6388515,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת  רפואה משלימה
"דרך עיסוויה 1, ירושלים",שירותי בריאות כללית,02-5409944,Opening_hours פתוח  עד 23:59  שעות פעילות  7 ימים בשבוע   8:00 - 23:59   צפה בשעות הפעילות, בדיקות מעבדה מכון רנטגן  נגישות לנכים
"דרך עכו 194, קניון הקריון קרית ביאליק",שירותי בריאות כללית,04-8741130,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב', ג' יום ד' יום ו'   7:00 - 18:00  7:00 - 19:00  7:00 - 12:00  8:30 - 14:30   צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"דרך עכו 22, קרית ביאליק",לאומית שירותי בריאות,04-9505500,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 13:00, 16:00 - 18:30  8:00 - 13:00  8:00 - 12:30   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת מכון רנטגן אולטרה סאונד מרפאת נשים מכון סוכרת   עוד פרטים  רפואה משלימה שירות מעקב היריון שירותי אופטומטריה
"דרך עכו 271, קרית מוצקין",מכבי שירותי בריאות,04-6164350,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה
"דרך עכו 271, קרית מוצקין, מרכז מסחרי נווה",מאוחדת,04-8806111,"Opening_hours   שעות פעילות  ימים א' - ג', ה' יום ד' יום ו'   7:30 - 19:00  7:30 - 15:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה שירותי רפואה דחופה מכון קרדיולוגי מכון גסטרואנטרולוגי   עוד פרטים  שירותים סוציאליים יועצי תזונה
"דרך קדם 5, מעלה אדומים, קניון אדומים",מאוחדת,02-5412111,"Opening_hours ייפתח ביום ה' ב-7:30  שעות פעילות  ימים א', ה' יום ב' יום ג' יום ד' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 17:30  7:30 - 19:00  7:30 - 13:00  8:00 - 11:30   צפה בשעות הפעילות", רפואת שיניים שירותים סוציאליים יועצי תזונה  בדיקות מעבדה בית מרקחת מוניטור מכון להתפתחות הילד פיזיותרפיה מרפאת נשים מכון קרדיולוגי מכון גסטרואנטרולוגי   עוד פרטים
"ה' באייר 22, מרכז G אפק (לב אפק) ראש העין",מאוחדת,03-9155333,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג', ה' ימים ב', ד', ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מרפאת נשים  שירותים סוציאליים
"האגם 5, עומר",מכבי שירותי בריאות,08-6295200,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"האופה 1, קדימה",מכבי שירותי בריאות,09-8868340,"Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 12:00, 16:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה
"האיילות, גבעת זאב, הארי 2",שירותי בריאות כללית,02-5360400,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה אולטרה סאונד מכון להתפתחות הילד   עוד פרטים
"האילנות 2, גת רימון",שירותי בריאות כללית,03-9084500,"Opening_hours ייפתח ביום ה' ב-6:30  שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה'   6:30 - 9:00, 18:30 - 20:30  6:30 - 9:00, 16:30 - 19:00  6:30 - 9:00  6:30 - 9:00, 17:30 - 20:00  
חוה""מ:	 06:30 - 09:00
ערב חג:06:30 - 09:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
"האילנות 24, כפר סירקין",שירותי בריאות כללית,03-9323681,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ה'   8:00 - 12:00, 13:30 - 15:30  16:00 - 18:30  8:00 - 12:00  13:30 - 15:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
"האימהות 2, נס ציונה",מאוחדת,08-9524524,"Opening_hours   שעות פעילות  ימים א', ג', ה', ו' ימים ב', ד'   8:00 - 12:00  8:00 - 12:00, 16:00 - 19:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מרפאת נשים
"האירוסים 53, קניון קניותר נס ציונה",מאוחדת,08-9304222,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   7:30 - 12:00, 16:00 - 19:00  7:30 - 12:00  8:00 - 12:00   צפה בשעות הפעילות", רפואת שיניים שירותים סוציאליים יועצי תזונה  בדיקות מעבדה בית מרקחת מכון קרדיולוגי מכון גסטרואנטרולוגי
"האירוסים 53, קניון קניותר נס ציונה, קניותר",שירותי בריאות כללית,08-9305420,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בדיקומט  נגישות לנכים
"האלה 1, גבעת עדה",שירותי בריאות כללית,04-6388335,"Opening_hours   שעות פעילות  ימים א', ה' יום ב' יום ג' יום ד'   7:30 - 12:30, 16:00 - 19:00  7:30 - 12:00, 16:00 - 19:00  7:30 - 14:00  7:30 - 12:30   צפה בשעות הפעילות", בדיקות מעבדה  נגישות לנכים
"האלה 2, מגדל העמק",שירותי בריאות כללית,04-6447070,"Opening_hours   שעות פעילות  ימים א' - ג', ה' יום ד' יום ו'   7:30 - 19:00  7:30 - 13:00  8:00 - 12:00  
חוה""מ:	08:00 - 13:00
ערב חג:	08:00 - 12:00  צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת אולטרה סאונד מוניטור מכון להתפתחות הילד פיזיותרפיה   עוד פרטים  נגישות לנכים
"האלון 100, אור עקיבא",שירותי בריאות כללית,04-6102300,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  שירותי ביקור בית נגישות לנכים
"האלון 23, רמות יצחק נשר",שירותי בריאות כללית,04-8214864,"Opening_hours פתוח  עד 18:45  שעות פעילות  יום א' ימים ב', ד' ימים ג', ה'   7:30 - 13:30  13:00 - 18:45  7:30 - 12:30   צפה בשעות הפעילות", בדיקות מעבדה אולטרה סאונד  נגישות לנכים
"האלון 259, הר אדר",שירותי בריאות כללית,02-5706444,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה
"האם 18, רמת גן, נוה יהושע",שירותי בריאות כללית,03-6713500,"Opening_hours ייפתח ביום ה' ב-7:30  שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 15:00  7:30 - 13:00  7:30 - 13:00, 14:00 - 15:00  8:00 - 12:00  
חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00  צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  נגישות לנכים
"האקליפטוס 11, דרום תל אביב, התקווה",שירותי בריאות כללית,03-7917800,"Opening_hours   שעות פעילות  ימים א', ג' יום ב' יום ד' יום ה' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 16:00  7:30 - 13:30  7:30 - 15:00  7:30 - 12:30  
חוה""מ:	 07:30 - 13:00
ערב חג:08:00 - 13:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט  נגישות לנכים
"הארזים 2, ירושלים, בית הכרם",שירותי בריאות כללית,02-6547555,Opening_hours   שעות פעילות  יום ה'   8:30 - 14:00   צפה בשעות הפעילות, שירות אחיות בית מרקחת
"הארי 18, אשדוד, רובע ט'",שירותי בריאות כללית,08-8656588,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה
"האשל 2, חולון",שירותי בריאות כללית,03-6502700,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 13:00, 15:30 - 19:00  7:30 - 15:30  7:30 - 13:30  7:30 - 12:30  
חוה""מ:	 07:30 - 13:00
ערב חג:07:30 - 13:00  צפה בשעות הפעילות", בדיקות מעבדה בדיקומט בית מרקחת טיפולי פריון  נגישות לנכים
"הבבא סאלי 21, ביתר עילית",מאוחדת,02-5658660,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:00  7:30 - 12:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  יועצי תזונה
"הבנים 14, הוד השרון",לאומית שירותי בריאות,09-7621500,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד' יום ו'   8:00 - 12:30, 16:00 - 19:00  8:00 - 12:30  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
"הבנים 14, הוד השרון",מכבי שירותי בריאות,09-7478181,"Opening_hours   שעות פעילות  ימים א', ה' ימים ב' - ד'   8:00 - 12:00  16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"הבנים 7, חיפה, נוה שאנן",שירותי בריאות כללית,04-8291333,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט בית מרקחת  שירותים סוציאליים יועצי תזונה נגישות לנכים
"הגבורה 11, אשקלון, מרכז רפואי מאוחדת",מאוחדת,08-6741741,Opening_hours פתוח  עד 19:00  שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 12:00   צפה בשעות הפעילות, שירות אחיות מוניטור פיזיותרפיה מרפאת נשים מכון גסטרואנטרולוגי מכון סוכרת   עוד פרטים  שירותים סוציאליים שירותי אופטומטריה
"הגבורה 3, אשקלון",מכבי שירותי בריאות,08-6747666,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ב', ד', ה' יום ג'   8:00 - 12:00, 16:00 - 18:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה מכון רנטגן אולטרה סאונד מוניטור מכון להתפתחות הילד פיזיותרפיה מכון סוכרת   עוד פרטים
"הגדוד השלישי 1, צפת",שירותי בריאות כללית,04-6729610,"Opening_hours   שעות פעילות  ימים א', ב', ה' ימים ג', ד' יום ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 16:00  8:00 - 12:00  חוה""מ:	08:00 - 13:00
ערב חג:	08:00 - 12:00
  צפה בשעות הפעילות", בדיקומט  אבחון וטיפול בהפרעות קשב וריכוז נגישות לנכים
"הגולן 95, רמת החייל תל אביב",לאומית שירותי בריאות,03-6481457,"Opening_hours ייפתח ביום ה' ב-7:30  שעות פעילות  ימים א', ה' ימים ב' - ד'   7:30 - 12:30, 16:00 - 18:30  7:30 - 12:30   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת
הגושרים,שירותי בריאות כללית,04-6956278,"Opening_hours   שעות פעילות  יום א' יום ב' יום ג' יום ה' יום ו'   8:30 - 12:00, 13:30 - 16:00  7:30 - 13:00  7:30 - 14:00  10:00 - 13:00  9:00 - 12:00   צפה בשעות הפעילות", טיפת חלב בדיקות מעבדה  נגישות לנכים
"הגליל 5, כפר סבא, ליכטנשטיין",שירותי בריאות כללית,09-7631222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, בדיקות מעבדה בדיקומט בית מרקחת  שירותי ביקור בית נגישות לנכים
"הגלעד 14, פרדס חנה-כרכור",שירותי בריאות כללית,04-6174222,"Opening_hours   שעות פעילות  ימים א', ג', ה' יום ב' יום ד' יום ו'   7:30 - 13:00, 16:00 - 19:00  7:30 - 15:00  7:30 - 13:00  8:00 - 12:00  חוה""מ:	 08:00 - 13:00
ערב חג:08:00 - 12:00
חג:	 00:00 - 01:00  צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה
"הגפן 13, מגדל העמק",שירותי בריאות כללית,04-6417500,"Opening_hours   שעות פעילות  ימים א', ג' ימים ב', ה' יום ו'   12:00 - 19:00  8:00 - 14:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקומט  נגישות לנכים
"הגפן 16, נצרת עילית (נוף הגליל), דרום",שירותי בריאות כללית,04-6557444,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בדיקומט מוניטור
"הגפן 19, נתניה, עין התכלת",שירותי בריאות כללית,09-8303300,"Opening_hours   שעות פעילות  ימים א', ד' - ו' יום ב' יום ג'   8:00 - 12:00  14:00 - 18:30  8:00 - 12:00, 16:00 - 18:30  חוה""מ:	08:00 - 12:00
ערב חג:08:00 - 12:00
חג:	 00:00 - 01:00  צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה שירותי ביקור בית נגישות לנכים
"הגר""א 2, קרית יערים",מאוחדת,02-5341404,"Opening_hours   שעות פעילות  ימים א', ב', ד', ה' יום ג' יום ו'   8:00 - 13:00, 16:00 - 19:00  8:00 - 13:00  8:00 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת מרפאת נשים שירותי רפואה דחופה   עוד פרטים  יועצי תזונה
"הדגל 4, שדרות",שירותי בריאות כללית,08-6621222,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת אולטרה סאונד פיזיותרפיה   עוד פרטים  נגישות לנכים
"הדגן 2, קניון פסגת זכרון זכרון יעקב, פסגת זכרון",שירותי בריאות כללית,04-6243000,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  טיפול בתאונות עבודה נגישות לנכים
